Code,Name,総人口,日本人人口,外国人人口,住民基本台帳人口（総数）,15歳未満人口,15～64歳人口,65歳以上人口,人口集中地区人口,出生数,死亡数,転入者数,転出者数,昼間人口,総世帯数,一般世帯数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積(北方地域及び竹島を除く),可住地面積,課税対象所得,納税義務者数（所得割）,事業所数（民営）,従業者数（民営）,耕地面積,製造品出荷額等,製造業従業者数,商業年間商品販売額（卸売業＋小売業）,商業事業所数（卸売業＋小売業）,商業従業者数（卸売業＋小売業）,財政力指数(市町村財政),実質収支比率(市町村財政),実質公債費比率(市町村財政),歳入決算総額(市町村財政),歳出決算総額(市町村財政),地方税(市町村財政),幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,高等学校数,高等学校生徒数,労働力人口,就業者数,完全失業者数,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,雇用者数,役員数,雇人のある業主数,雇人のない業主数,家族従業者数,自市区町村で従業している就業者数,他市区町村への通勤者数,従業地による就業者数,他市区町村からの通勤者数,公民館数,図書館数,居住世帯あり住宅数,持ち家数,借家数,１住宅当たり延べ面積,非水洗化人口,ごみ計画収集人口,ごみ総排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,百貨店、総合スーパー数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,介護老人福祉施設数（基本票）,児童福祉施設等数（基本票）,保育所等数（基本票）,国民健康保険被保険者数
02411,六ヶ所村,10367,10066,103,9628,1065,6470,2618,...,69,133,438,476,17715,5194,5167,1898,2756,845,374,442,43,19,252.58,111.62,17819,5058,535,11262,36,183208,3816,18511,99,706,1.62,2.4,3.7,15389,15044,7963,0,0,4,53,381,3,39,208,1,106,6581,6441,140,686,2669,3068,5424,253,107,297,275,6035,334,13847,7740,11,1,...,...,...,...,287,9788,4237,11.3,77,26,0,0,0,7,1,5,1,4,1,3,3,1538
02412,おいらせ町,24273,23942,228,25182,3308,13956,6671,...,191,324,1057,880,20373,9258,9243,5424,2347,2168,975,961,82,44,71.96,59.22,32750,10700,844,8537,32,46017,1193,39680,224,1976,0.46,4.8,10.4,12126,11766,2759,1,65,5,99,1404,3,63,662,1,257,12827,12310,517,1015,3403,7734,10307,441,284,696,480,4992,7203,8930,3823,3,1,8650,6910,1550,128.55,1045,25133,8186,13.3,208,85,5,0,2,10,7,15,7,22,2,2,0,4804
02423,大間町,4718,4705,9,4649,501,2496,1711,...,26,100,123,169,5027,2090,2086,996,816,534,251,379,19,8,52.09,14.34,5602,1698,296,2047,3,1722,40,8565,61,355,0.27,7.1,12.4,7035,6850,592,1,9,2,21,175,1,15,111,1,126,2547,2393,154,530,606,1247,1583,106,118,351,211,2155,204,2694,505,1,0,...,...,...,...,195,4802,2036,21.6,49,38,0,0,1,2,1,6,1,5,1,2,2,1389
02424,東通村,5955,5943,12,5553,633,3205,2117,...,21,124,152,241,5809,2559,2546,1166,998,691,301,359,13,7,295.32,65.51,6844,2155,260,2351,18,1297,101,2912,59,192,0.61,9,13.7,9129,8740,1996,0,0,1,22,220,1,24,131,0,0,3338,3206,132,738,846,1619,2405,95,93,323,267,2251,934,3172,900,0,0,...,...,...,...,275,5779,1844,18.1,49,16,0,0,0,5,2,3,0,4,0,0,0,1488
02425,風間浦村,1636,1633,3,1554,125,751,757,...,1,44,29,59,1432,750,748,392,260,266,125,165,2,4,69.46,5.9,1393,499,84,369,0,480,71,149,16,38,0.1,3.6,12.2,3162,3108,108,0,0,1,10,43,1,11,29,0,0,869,829,40,165,156,503,557,43,32,129,55,523,289,650,110,4,0,...,...,...,...,65,1632,542,22.1,15,5,0,0,0,1,0,1,0,0,0,1,1,458
02426,佐井村,1788,1787,1,1628,124,802,858,...,10,41,20,59,1675,826,823,391,321,265,137,203,4,0,135.05,16.64,1614,533,101,517,3,257,29,282,22,50,0.12,5.4,4.2,2821,2730,163,0,0,2,14,34,2,10,25,0,0,855,833,22,166,199,434,561,32,25,118,75,639,165,737,69,8,0,...,...,...,...,21,1713,595,22.7,23,9,0,0,0,4,1,0,1,0,1,1,1,509
02441,三戸町,9082,9035,34,8767,826,4412,3783,...,39,163,168,258,8957,3566,3559,1817,1013,1115,520,628,18,8,151.79,50.8,8613,3189,442,3103,24,19257,441,13194,134,683,0.25,7.4,10,7421,7091,888,1,0,2,34,292,1,19,192,1,80,4780,4563,217,1353,872,2324,2808,196,194,606,724,3051,1467,4569,1473,1,1,...,...,...,...,4281,9026,3413,17.3,122,30,2,0,1,3,3,10,4,12,1,3,1,2325
02442,五戸町,16042,15970,72,15285,1436,8139,6467,...,50,364,274,377,14262,6059,6040,3306,1492,2032,912,876,25,18,177.67,84.39,15556,5734,569,4934,43,22784,1101,13825,144,760,0.28,2.7,9.3,10046,9869,1426,2,23,4,62,558,3,45,307,0,0,8859,8517,342,1789,2222,4500,6066,334,210,1048,842,4873,3626,7004,2113,1,1,5950,4950,990,129.16,5530,15724,4712,14.7,132,39,1,0,1,7,5,11,8,19,2,0,0,3677
02443,田子町,4968,4955,13,4718,417,2368,2182,...,19,126,74,91,4816,1918,1909,950,527,624,271,359,9,4,241.98,46.97,4366,1648,235,1677,25,13796,387,4305,55,244,0.21,3.5,5.8,5098,4990,501,1,2,1,14,141,1,12,82,0,0,2817,2732,85,959,616,1157,1637,152,99,387,447,2045,672,2677,617,2,1,...,...,...,...,2448,4864,1693,23.7,53,11,0,0,0,3,2,3,3,4,1,0,0,1282
02445,南部町,16809,16776,33,16185,1558,8525,6725,...,57,366,301,365,14329,6263,6232,3380,1555,2033,864,1002,31,16,153.12,76.19,17182,6208,561,4102,36,16008,494,15406,163,837,0.29,13.4,7.6,13078,12167,1706,1,42,3,51,596,3,46,317,1,141,9140,8812,328,2014,1932,4840,6005,371,270,1144,994,4853,3907,6651,1746,4,0,6010,5280,710,138.84,5114,16659,4738,15.2,128,18,1,0,2,8,5,23,6,24,3,0,0,4027
02446,階上町,13496,13278,66,12562,1276,7697,4281,...,48,216,377,421,10500,5862,5836,2964,2158,1487,709,653,21,20,94,39.68,14353,5118,495,4074,11,16440,665,7604,76,391,0.36,7.6,10.9,6496,6192,1142,0,0,4,51,527,2,33,238,0,0,6757,6439,318,534,1857,3804,5264,256,113,424,190,2326,3869,4089,1519,1,0,...,...,...,...,2152,12782,3438,11.7,62,25,1,0,0,4,3,2,3,2,2,1,1,2841
02450,新郷村,2197,2189,8,2059,165,948,1084,...,2,57,35,56,2066,788,785,346,190,268,122,142,5,0,150.77,30.06,1597,610,91,490,17,X,8,913,27,108,0.17,9.9,6.1,3286,3086,256,0,0,1,14,64,1,13,39,0,0,1300,1270,30,594,217,451,642,28,65,236,290,920,330,1191,251,3,0,...,...,...,...,645,2153,534,20.2,26,5,0,0,0,1,0,2,0,1,0,0,0,623
