Code,Name,総人口,日本人人口,外国人人口,住民基本台帳人口（総数）,15歳未満人口,15～64歳人口,65歳以上人口,人口集中地区人口,出生数,死亡数,転入者数,転出者数,昼間人口,総世帯数,一般世帯数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積(北方地域及び竹島を除く),可住地面積,課税対象所得,納税義務者数（所得割）,事業所数（民営）,従業者数（民営）,耕地面積,製造品出荷額等,製造業従業者数,商業年間商品販売額（卸売業＋小売業）,商業事業所数（卸売業＋小売業）,商業従業者数（卸売業＋小売業）,財政力指数(市町村財政),実質収支比率(市町村財政),実質公債費比率(市町村財政),歳入決算総額(市町村財政),歳出決算総額(市町村財政),地方税(市町村財政),幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,高等学校数,高等学校生徒数,労働力人口,就業者数,完全失業者数,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,雇用者数,役員数,雇人のある業主数,雇人のない業主数,家族従業者数,自市区町村で従業している就業者数,他市区町村への通勤者数,従業地による就業者数,他市区町村からの通勤者数,公民館数,図書館数,居住世帯あり住宅数,持ち家数,借家数,１住宅当たり延べ面積,非水洗化人口,ごみ計画収集人口,ごみ総排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,百貨店、総合スーパー数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,介護老人福祉施設数（基本票）,児童福祉施設等数（基本票）,保育所等数（基本票）,国民健康保険被保険者数
02209,つがる市,30934,30849,58,28806,2903,16001,12002,...,107,616,513,708,29188,10823,10764,5494,2486,3100,1377,1595,53,30,253.55,213.57,26780,9993,1179,8924,142,5667,631,45931,307,2141,0.25,4.2,12.1,28418,27845,2863,1,47,7,111,1123,5,91,582,1,429,16436,15508,928,4559,2676,8034,9562,448,632,2273,2406,10640,4656,14135,3283,2,1,10270,8270,1790,145.11,11385,29611,9129,15.4,283,75,4,0,1,11,10,16,12,19,3,11,8,8337
02210,平川市,30567,30515,48,29353,3282,16504,10777,...,153,515,580,631,27224,10049,10015,5183,1943,2800,1018,1191,69,33,346.01,94.79,29644,10964,979,9572,51,74551,2760,42106,222,1613,0.3,6.1,7.9,24566,23425,2648,0,0,9,133,1338,4,72,674,2,351,16913,15866,1047,3690,3534,8633,11059,479,624,1892,1809,8584,7257,13217,4608,3,2,10400,9480,840,140.49,1386,29781,9604,11.2,200,90,3,0,0,17,8,17,11,16,2,4,1,7115
02301,平内町,10126,10079,47,9730,906,5050,4164,...,29,224,146,208,9147,3796,3783,2013,1006,1281,592,664,14,10,217.09,47.04,12562,3896,357,2528,15,9482,391,4361,92,383,0.24,3.4,10.1,8463,8291,910,1,6,3,46,349,1,24,206,1,21,5350,5170,180,1391,1004,2696,3297,147,282,566,811,3712,1392,4417,639,6,1,...,...,...,...,2577,10031,6722,8.9,86,32,1,0,1,6,3,8,2,16,2,5,4,3100
02303,今別町,2334,2331,3,2096,105,939,1290,...,4,73,35,61,2311,1127,1124,595,416,452,264,272,4,1,125.27,19.46,1689,637,127,620,5,X,3,1038,27,81,0.22,12.7,3.1,3804,3542,431,0,0,1,11,38,1,7,14,0,0,1040,951,89,139,244,557,674,42,27,127,65,710,218,950,217,1,0,...,...,...,...,512,2226,909,10.1,30,11,0,0,0,3,1,2,3,3,1,0,0,598
02304,蓬田村,2540,2538,2,2434,247,1216,1077,...,7,52,31,52,2278,899,893,491,197,331,143,138,4,3,80.84,19.89,2307,843,77,627,12,X,157,2912,15,99,0.19,4.8,4.7,2596,2472,291,0,0,1,13,107,1,13,65,0,0,1304,1239,65,367,253,618,810,27,68,147,185,732,505,1055,321,9,0,...,...,...,...,150,2505,1256,48.3,12,5,0,0,0,2,0,1,0,0,1,0,0,741
02307,外ヶ浜町,5401,5365,36,4996,285,2362,2750,...,6,155,108,142,5322,2358,2338,1234,799,916,472,556,8,7,230.3,31.05,4749,1606,287,1700,8,2879,115,3312,83,270,0.18,3,11.5,6849,6683,695,0,0,2,19,93,2,22,58,0,0,2478,2341,137,539,486,1312,1587,84,127,276,252,1807,508,2373,540,3,0,...,...,...,...,1142,5204,1955,22.7,79,11,0,0,1,7,1,8,1,7,2,0,0,1518
02321,鰺ヶ沢町,9044,9022,14,8505,701,4299,4034,...,16,216,152,213,8602,3643,3626,1883,1088,1222,557,700,12,7,343.08,80.7,7461,2709,437,2691,32,2338,183,7612,118,552,0.22,5.3,14.1,8477,8153,837,0,0,2,25,250,1,17,163,1,52,4525,4197,328,897,707,2571,2856,150,165,523,476,3004,1167,3909,879,6,0,...,...,...,...,5238,8797,2866,9.4,115,29,0,0,1,5,3,10,4,16,1,3,3,2638
02323,深浦町,7346,7324,22,6803,481,3139,3726,...,17,188,98,166,7094,3047,3030,1549,960,1145,597,673,11,10,488.91,65.82,5310,2012,376,2242,14,759,77,5194,87,357,0.17,3.5,9.3,7868,7589,694,0,0,3,32,169,2,25,101,0,0,3448,3224,224,745,598,1872,2188,136,162,430,278,2770,428,3077,281,3,0,...,...,...,...,2365,6936,2439,12.4,77,26,0,0,0,5,2,4,3,3,2,6,6,1992
02343,西目屋村,1265,1265,0,1210,151,613,501,...,9,43,30,29,1076,437,435,232,96,142,56,53,2,1,246.02,21.83,989,404,68,389,3,X,13,130,8,27,0.13,5.6,11,2566,2477,145,0,0,1,12,72,0,0,0,0,0,707,684,23,167,156,346,477,16,20,88,67,357,309,535,160,2,0,...,...,...,...,232,1254,447,7.6,7,3,0,0,0,1,0,0,0,0,1,1,1,264
02361,藤崎町,14573,14544,27,14300,1679,8090,4797,...,87,228,319,299,11922,4965,4938,2743,1014,1343,494,593,37,15,37.29,37.29,15102,5494,498,4233,25,7168,488,19874,134,960,0.29,5.3,11.6,9296,8983,1188,1,21,3,51,658,2,38,358,0,0,8282,7802,480,1722,1589,4463,5566,236,337,769,875,3449,4322,5712,2232,6,1,...,...,...,...,1643,14467,4727,11.5,119,37,1,0,1,7,4,17,4,18,2,3,3,3450
