市町村名,1_総面積（k㎡）,2_人口（人）,3_人口密度（人/k㎡）,4_世帯数（世帯）,5_労働力人口（人）,6_就業者数_総数（人）,7_就業者数_第１次産業（人）,8_就業者数_第２次産業（人）,9_就業者数_第３次産業（人）,10_事業所（民営）_事業所数（事業所）,11_事業所（民営）_従業者数（人）,12_農家と農業人口_販売農家数（戸）,13_農家と農業人口_販売農家数のうち法人化している（戸）,14_農家と農業人口_自給的農家（戸）,15_耕地面積_総面積（ha）,16_耕地面積_田（ha）,17_耕地面積_畑（ha）,18_農業生産_水稲収穫量（ｔ）,19_農業生産_水稲10a当たり収量（kg）,20_林野面積_計（ha）,21_林野面積_うち国有林（ha）,22_漁業_就業者数（人）,23_海面漁業（属地）_漁獲数量（ｔ）,24_海面漁業（属地）_漁獲金額（千円）,25_製造業(従業者４人以上の事業所)_事業所数（事業所）,26_製造業(従業者４人以上の事業所)_従業者数（人）,27_製造業(従業者４人以上の事業所)_製造品出荷額等（万円）,28_製造業(従業者４人以上の事業所)_粗付加価値額（万円）,29_卸売業_事業所数（事業所）,30_卸売業_従業者数（人）,31_卸売業_年間商品販売額（百万円）,32_小売業_事業所数（事業所）,33_小売業_従業者数（人）,34_小売業_年間商品販売額（百万円）,35_小売業 飲食料品小売業_事業所数（事業所）,36_小売業 飲食料品小売業_従業者数（人）,37_小売業 飲食料品小売業_年間商品販売額（百万円）,38_市町村内総生産_農業（百万円）,39_市町村内総生産_林業（百万円）,40_市町村内総生産_水産業（百万円）,41_市町村内総生産_鉱業（百万円）,42_市町村内総生産_製造業（百万円）,43_市町村内総生産_電気・ｶﾞｽ・水道・廃棄物処理業（百万円）,44_市町村内総生産_建設業（百万円）,45_市町村内総生産_卸売・小売業（百万円）,46_市町村内総生産_運輸・郵便業（百万円）,47_市町村内総生産_宿泊・飲食サービス業（百万円）,48_市町村内総生産_情報通信業（百万円）,49_市町村内総生産_金融・保険業（百万円）,50_市町村内総生産_不動産業（百万円）,51_市町村内総生産_専門・科学技術、業務支援サービス業（百万円）,52_市町村内総生産_公務（百万円）,53_市町村内総生産_教育（百万円）,54_市町村内総生産_保健衛生・社会事業（百万円）,55_市町村内総生産_その他のサービス業（百万円）,56_市町村内総生産_小計（百万円）,57_人口１人当たり市町村民所得（千円）,58_自動車保有車両数（台）,59_道路（市町村道一般道路）_実延長（km）,60_道路（市町村道一般道路）_舗装道路実延長（km）,61_都市公園面積（ha）,62_ごみﾘｻｲｸﾙ率（%）,63_医療施設 病院_施設数（施設）,64_医療施設 病院_病床数（床）,65_医療施設 一般診療所_施設数（施設）,66_医療施設 一般診療所_病床数（床）,67_人口10万人当たり病床数(一般)（床）,68_医療関係従事者数（従業地による） 医師_実数（人）,69_医療関係従事者数（従業地による） 医師_人口10万人当たり（人）,70_医療関係従事者数（従業地による） 歯科医師_実数（人）,71_医療関係従事者数（従業地による） 歯科医師_人口10万人当たり（人）,72_医療関係従事者数（従業地による） 薬剤師_実数（人）,73_医療関係従事者数（従業地による） 薬剤師_人口10万人当たり（人）,74_出生数（人）,75_出生率(人口千人対)（人）,76_死亡数_総数（人）,77_死亡数_悪性新生物（人）,78_死亡数_心疾患（高血圧性を除く）（人）,79_死亡数_脳血管疾患（人）,80_死亡数_老衰（人）,81_死亡率(人口千人対)（人）,82_婚姻_実数（人）,83_婚姻_率(人口千人対),84_離婚_実数（人）,85_離婚_率(人口千人対),86_高卒者進路_大学等進学率（%）,87_高卒者進路_卒業者に占める就職者の割合（%）,88_社会福祉施設_老人福祉施設（施設）,89_社会福祉施設_保育所（施設）,90_社会福祉施設_幼保連携型認定こども園（施設）,91_生活保護率（月平均）人口千対（‰）,92_人口100人当たり蔵書冊数_（市町村立）図書館（冊）,93_人口100人当たり蔵書冊数_（市町村立）公民館等（冊）,94_水道普及率（%）,95_交通事故発生状況（県計のみ高速道路事故含む）_発生件数（件）,96_交通事故発生状況（県計のみ高速道路事故含む）_死者数（人）,97_交通事故発生状況（県計のみ高速道路事故含む）_負傷者数（人）,98_火災出火件数（件）,99-1_刑法犯_認知件数（件）,99-2_刑法犯_検挙件数（件）,100-1_財政 令和6年度決算状況（普通会計）_歳入（千円）,100-2_財政 令和6年度決算状況（普通会計）_うち地方税（千円）,100-3_財政 令和6年度決算状況（普通会計）_歳出（千円）,100-4_財政_財政力指数,100-5_財政_積立金現在高（千円）
板柳町,41.88,12700,303.2,4476,7681,7404,2756,1167,3481,521,3075,1072,5,46,3020,1580,1440,6700,626,-,-,-,-,-,10,346,482548,207447,21,223,17241,114,674,10291,34,289,3933,4550,0,0,102,1780,640,2181,6021,1303,207,6,958,4546,886,2216,1863,2931,782,30971,2510,11030,195,128,7.58,6.6,1,77,5,36,678,9,73.8,8,65.6,9,73.8,47,3.9,244,50,43,11,11,20.4,26,2.2,20,1.67,-,-,2,0,4,25.23,252.2,,97.9,18,1,24,6,32,10,9065802,937861,8486194,0.27,4208132
鶴田町,46.43,12074,260,4256,6668,6214,2030,1140,3044,412,3185,937,5,94,2930,1880,1050,8350,623,120,-,-,-,-,7,576,918080,563799,8,66,2307,75,517,6251,26,277,3497,4756,7,0,0,5061,1217,2660,1926,484,425,0,491,3493,625,1607,1428,2276,732,27189,2200,10435,187,126,2.7,19.2,-,-,6,-,-,7,60.5,2,17.3,7,60.5,36,3.2,209,68,34,8,20,18.5,22,1.9,19,1.68,14,60.5,2,2,4,24.35,,80.5,97.9,11,-,14,17,29,9,7780242,990560,7267434,0.27,1568385
中泊町,216.34,9657,44.6,3870,4758,4403,919,1194,2290,470,3073,453,2,86,3660,3280,380,13500,626,14946,13177,231,662,636599,9,172,103875,52752,18,77,4736,76,402,6554,26,158,2448,1366,30,758,0,736,1034,3761,2760,1492,345,0,456,2738,630,1785,1896,2030,1004,22822,2254,8973,280,117,-,10.6,-,-,8,-,-,4,43.7,3,32.8,3,32.8,30,3.4,228,55,34,12,33,25.9,14,1.6,7,0.8,-,-,4,-,3,32.06,625,,97,16,-,20,9,13,10,8502896,1002292,8299433,0.23,4021103
野辺地町,81.68,12374,151.5,5433,6504,6199,466,1626,4107,652,4130,51,-,69,655,193,462,134,583,5448,1861,171,1160,557338,9,384,745327,313738,23,83,3557,130,762,15174,48,298,4649,1071,52,363,0,2509,2237,3274,5031,1786,796,101,853,5458,2500,2231,1628,5241,1557,36689,2663,9023,144,103,26.73,8.6,1,151,4,21,1222,17,143.4,8,67.5,12,101.2,31,2.7,272,57,42,14,22,23.6,32,2.8,14,1.21,31.1,35.9,3,3,-,22.19,778.3,,99.6,12,-,15,2,41,24,8755987,1413550,8615146,0.37,2511494
七戸町,337.23,14556,43.2,5447,7953,7650,1564,1701,4385,639,4783,769,1,239,6830,3800,3020,9400,584,22196,14188,-,-,-,26,552,927625,397016,29,170,10378,125,774,12642,36,339,4395,5889,120,0,639,4358,2540,5950,5393,1921,333,13,709,4753,1961,2170,3644,5815,1711,47919,2612,13460,577,347,15.28,14.5,1,110,6,19,938,12,85.4,6,42.7,19,135.2,45,3.3,319,61,44,22,52,23.2,28,2,19,1.38,30.7,33.7,7,1,4,18.54,224.8,,99,23,-,36,15,46,35,12653239,2335725,12215010,0.37,4778557
六戸町,83.89,10447,124.5,3840,5814,5611,1065,1345,3201,370,3080,598,-,148,3380,1930,1450,4260,610,2621,-,-,-,-,20,345,636809,297063,15,141,4845,71,431,6621,21,143,2004,3033,40,0,0,5638,1248,2453,2987,1093,141,7,253,5847,1226,1431,2212,1910,1297,30814,2668,10010,309,160,46.4,14.4,-,-,5,27,263,4,38.6,5,48.3,6,57.9,60,5.8,180,39,27,21,11,17.5,31,3,20,1.95,-,-,3,-,4,10.04,254.3,,87.1,30,3,38,9,13,12,13482071,1444708,13260162,0.41,2985064
横浜町,126.38,4229,33.5,1813,2367,2258,664,652,942,202,1669,119,-,109,2120,350,1770,847,588,9533,4815,254,2950,995706,6,646,1892857,311486,4,15,144,44,179,2273,21,110,947,5980,48,539,281,10155,574,2506,606,162,141,0,195,1271,55,1113,471,1958,407,26463,3013,3628,76,65,-,24.6,-,-,2,-,-,1,24.3,1,24.3,2,48.5,18,4.5,80,26,10,2,8,19.8,7,1.7,3,0.74,-,-,2,2,-,29.68,434.9,,84.2,8,1,9,2,12,5,4522432,778216,4320398,0.31,3501824
東北町,326.5,16428,50.3,5871,9152,8880,2148,2028,4704,683,5344,857,2,164,7980,3050,4920,7310,594,13656,5852,-,-,-,17,442,982413,453247,23,221,8853,141,749,12203,37,279,4232,7403,123,460,0,3668,1346,6390,5005,2432,577,0,851,5693,1002,3823,1982,6160,2304,49219,2582,15192,608,373,0,14.2,1,110,9,13,421,8,50.1,12,75.1,9,56.3,72,4.6,319,72,59,22,25,20.3,35,2.2,20,1.28,-,-,6,6,6,25.54,345.4,,99.7,20,2,41,9,27,18,13445532,1833479,12887766,0.31,3160575
六ヶ所村,252.58,10367,41,5194,6598,6458,692,2686,3080,557,11262,161,4,56,3640,509,3130,123,557,12886,8305,143,807,353544,14,3683,21793658,14675184,29,303,9744,70,403,8767,30,156,3219,3250,67,498,1126,174600,3761,21269,4111,6078,829,1198,392,2942,28507,3142,1886,2390,1775,257822,7201,12616,171,135,100.6,11.3,-,-,7,19,189,5,49.1,1,9.8,4,39.3,69,6.9,133,31,21,12,10,13.2,43,4.3,19,1.89,25.6,59,4,3,1,14.81,505.3,,100,21,-,25,6,39,18,14539670,7687263,14270915,1.68,10729830
おいらせ町,71.96,24273,337.3,9258,13359,12823,1069,3601,8153,877,8537,383,3,164,3200,1570,1630,3040,583,1274,-,46,322,127845,25,1161,3960358,1077115,24,249,8538,200,1727,31141,48,529,8353,3688,20,157,0,11246,1417,5427,10165,3615,968,181,1717,12231,4071,2775,4285,4376,3684,70022,2713,21419,402,232,99.24,13.3,2,138,10,-,323,15,61.8,7,28.9,22,90.7,191,7.9,324,73,40,33,13,13.4,82,3.4,44,1.82,12.1,63.7,5,-,13,8.88,288.3,,94.6,54,1,60,18,85,54,13393790,2719994,13019357,0.46,5851109
大間町,52.09,4718,90.6,2090,2549,2395,534,609,1252,302,2047,10,-,66,316,33,283,-,-,3775,3167,473,1271,2025784,6,40,184309,77676,13,67,3554,48,288,5012,15,127,2530,57,9,1006,0,907,591,3184,1918,1241,492,0,359,1571,1983,1132,1017,1379,373,17220,2725,3941,64,39,-,21.6,1,48,2,-,1095,6,133.4,1,22.2,5,111.2,26,5.9,100,28,15,11,9,22.8,19,4.3,8,1.82,41.7,38.9,2,2,-,53.47,,-,99.4,1,-,1,0,3,2,5184098,563427,5004757,0.27,2074826
東通村,295.32,5955,20.2,2559,3341,3209,738,847,1624,268,2351,161,-,129,1770,489,1280,432,502,22981,8812,752,1903,1335635,5,155,344588,164951,12,70,2049,47,122,863,33,63,183,373,220,1475,2225,1882,1364,3203,608,1117,331,0,119,2342,3198,2481,732,1110,269,23051,3212,5290,143,97,-,18.1,-,-,5,19,344,3,52.7,0,0,4,70.3,21,3.8,124,29,13,9,16,22.4,13,2.4,7,1.27,-,-,2,-,1,17.44,,-,99.9,5,-,5,1,3,3,9604176,1862054,9256795,0.54,8558118
風間浦村,69.46,1636,23.5,750,869,829,169,156,504,88,369,6,1,49,9,6,3,11,383,6356,5026,226,540,447658,5,74,42975,21810,1,2,-,15,36,149,9,14,-,0,23,236,0,239,171,915,28,25,241,0,29,496,34,606,407,524,137,4111,2774,1177,89,16,-,22.1,-,-,1,-,-,1,65,-,-,-,-,1,0.7,44,15,7,5,1,30,2,1.4,4,2.72,-,-,-,1,-,25.24,,-,99.9,1,-,1,2,1,1,3374743,107259,3267957,0.1,1761842
佐井村,135.05,1788,13.2,826,869,847,179,214,454,101,517,12,-,65,304,44,260,22,443,11841,11010,164,1968,627422,1,27,x,x,1,3,x,21,47,x,8,21,95,5,17,388,0,114,288,872,76,518,122,6,23,574,94,682,275,436,67,4558,2547,1363,36,28,-,22.7,-,-,4,-,-,-,-,1,62.2,-,-,10,6.4,41,7,4,8,1,26.1,4,2.6,-,-,-,-,2,1,-,38.21,,704.6,99.7,-,-,-,2,3,1,3051007,170452,2985158,0.12,2510061
三戸町,151.79,9082,59.8,3566,4850,4630,1380,888,2362,466,3103,525,4,96,2440,868,1580,3080,608,10099,1512,-,-,-,11,458,1485867,204336,18,67,3004,116,616,10191,43,255,3159,3708,130,0,0,4344,1378,1584,3405,874,256,696,881,2374,353,2647,2119,3506,1108,29363,2550,8266,339,158,32.25,17.3,1,96,3,-,664,10,116.6,4,46.6,12,139.9,39,4.7,163,34,25,10,16,19.5,18,2.1,8,0.96,13,39.1,2,1,2,19.54,534.1,,95.4,10,-,13,7,18,9,7149117,862140,6792236,0.25,3129467
五戸町,177.67,16042,90.3,6059,8874,8532,1793,2228,4511,578,4934,964,2,363,4340,1890,2450,5300,616,9328,-,-,-,-,33,1270,2345096,742808,17,151,3423,127,609,10402,44,282,3690,6464,156,0,0,7049,914,1986,3268,2437,323,14,673,5459,1672,3696,2346,4219,2001,42676,2645,14390,459,319,15.5,14.7,1,165,7,-,1071,11,71.4,8,51.9,19,123.3,50,3.3,364,73,60,25,55,24.3,25,1.7,18,1.2,-,-,4,-,5,11.81,781.4,,90.3,23,3,29,11,32,23,11088637,1358835,10908040,0.27,4484556
田子町,241.98,4968,20.5,1918,2818,2733,960,616,1157,236,1677,441,8,135,2530,850,1680,2150,581,19501,9801,-,-,-,11,385,1304242,372996,5,13,125,50,231,4180,21,95,1609,3312,213,0,153,2791,299,1202,1291,1197,129,12,210,1270,49,1391,766,1695,451,16431,2522,5221,337,140,-,23.7,-,-,3,-,-,3,64,3,64,4,85.4,19,4.2,126,34,12,8,12,27.9,9,2,4,0.89,-,-,3,-,1,16.39,773.9,,93.7,4,-,5,3,2,2,4882696,478557,4842961,0.21,1884470
南部町,153.12,16809,109.8,6263,9197,8868,2035,1951,4882,578,4102,1005,4,363,3600,945,2650,3720,600,7693,69,-,-,-,21,527,1265173,411739,38,176,4093,125,661,11312,49,247,3651,5220,123,0,230,4590,1381,3231,4111,1062,140,0,404,5142,553,3078,2979,6432,2134,40808,2533,14844,609,360,0,15.2,2,126,8,10,593,23,142.1,6,37.1,24,148.3,57,3.6,366,78,40,32,56,23.1,31,2,16,1.01,11.9,45.8,5,-,3,15.03,,241.2,97.1,20,-,28,9,33,12,11844470,1693161,11541865,0.3,11734088
階上町,94,13496,143.6,5862,7093,6756,586,2037,4133,520,4074,135,-,170,1140,217,920,378,548,5432,94,49,566,282532,16,1003,1886561,655954,17,53,1274,59,338,6330,25,172,2449,3317,100,299,0,2915,1643,1933,2000,2978,622,0,415,4826,695,1432,1760,1852,977,27764,2275,10798,260,190,0,11.7,-,-,4,-,-,2,15.2,3,22.8,2,15.2,48,3.7,216,50,23,15,23,16.6,21,1.6,20,1.54,-,-,2,1,3,14.52,,188.8,97.6,10,-,11,6,35,15,6666077,1115929,6258504,0.35,3603214
新郷村,150.77,2197,14.6,788,1300,1270,600,218,452,93,490,335,-,61,1670,494,1180,1180,583,12071,3178,-,-,-,1,7,x,x,2,42,x,25,66,x,15,31,30,1012,138,0,0,23,211,639,159,333,58,12,31,613,89,878,661,498,322,5678,2537,2521,182,106,-,20.2,-,-,1,-,-,2,97.1,-,-,1,48.5,2,1,57,8,10,5,13,28.7,5,2.5,-,-,-,-,3,-,1,4.28,,657.8,75.5,-,-,-,-,1,1,2849097,243997,2651122,0.16,2331189
