市町村名,1_総面積（k㎡）,2_人口（人）,3_人口密度（人/k㎡）,4_世帯数（世帯）,5_労働力人口（人）,6_就業者数_総数（人）,7_就業者数_第１次産業（人）,8_就業者数_第２次産業（人）,9_就業者数_第３次産業（人）,10_事業所（民営）_事業所数（事業所）,11_事業所（民営）_従業者数（人）,12_農家と農業人口_販売農家数（戸）,13_農家と農業人口_販売農家数のうち法人化している（戸）,14_農家と農業人口_自給的農家（戸）,15_耕地面積_総面積（ha）,16_耕地面積_田（ha）,17_耕地面積_畑（ha）,18_農業生産_水稲収穫量（ｔ）,19_農業生産_水稲10a当たり収量（kg）,20_林野面積_計（ha）,21_林野面積_うち国有林（ha）,22_漁業_就業者数（人）,23_海面漁業（属地）_漁獲数量（ｔ）,24_海面漁業（属地）_漁獲金額（千円）,25_製造業(従業者４人以上の事業所)_事業所数（事業所）,26_製造業(従業者４人以上の事業所)_従業者数（人）,27_製造業(従業者４人以上の事業所)_製造品出荷額等（万円）,28_製造業(従業者４人以上の事業所)_粗付加価値額（万円）,29_卸売業_事業所数（事業所）,30_卸売業_従業者数（人）,31_卸売業_年間商品販売額（百万円）,32_小売業_事業所数（事業所）,33_小売業_従業者数（人）,34_小売業_年間商品販売額（百万円）,35_小売業 飲食料品小売業_事業所数（事業所）,36_小売業 飲食料品小売業_従業者数（人）,37_小売業 飲食料品小売業_年間商品販売額（百万円）,38_市町村内総生産_農業（百万円）,39_市町村内総生産_林業（百万円）,40_市町村内総生産_水産業（百万円）,41_市町村内総生産_鉱業（百万円）,42_市町村内総生産_製造業（百万円）,43_市町村内総生産_電気・ｶﾞｽ・水道・廃棄物処理業（百万円）,44_市町村内総生産_建設業（百万円）,45_市町村内総生産_卸売・小売業（百万円）,46_市町村内総生産_運輸・郵便業（百万円）,47_市町村内総生産_宿泊・飲食サービス業（百万円）,48_市町村内総生産_情報通信業（百万円）,49_市町村内総生産_金融・保険業（百万円）,50_市町村内総生産_不動産業（百万円）,51_市町村内総生産_専門・科学技術、業務支援サービス業（百万円）,52_市町村内総生産_公務（百万円）,53_市町村内総生産_教育（百万円）,54_市町村内総生産_保健衛生・社会事業（百万円）,55_市町村内総生産_その他のサービス業（百万円）,56_市町村内総生産_小計（百万円）,57_人口１人当たり市町村民所得（千円）,58_自動車保有車両数（台）,59_道路（市町村道一般道路）_実延長（km）,60_道路（市町村道一般道路）_舗装道路実延長（km）,61_都市公園面積（ha）,62_ごみﾘｻｲｸﾙ率（%）,63_医療施設 病院_施設数（施設）,64_医療施設 病院_病床数（床）,65_医療施設 一般診療所_施設数（施設）,66_医療施設 一般診療所_病床数（床）,67_人口10万人当たり病床数(一般)（床）,68_医療関係従事者数（従業地による） 医師_実数（人）,69_医療関係従事者数（従業地による） 医師_人口10万人当たり（人）,70_医療関係従事者数（従業地による） 歯科医師_実数（人）,71_医療関係従事者数（従業地による） 歯科医師_人口10万人当たり（人）,72_医療関係従事者数（従業地による） 薬剤師_実数（人）,73_医療関係従事者数（従業地による） 薬剤師_人口10万人当たり（人）,74_出生数（人）,75_出生率(人口千人対)（人）,76_死亡数_総数（人）,77_死亡数_悪性新生物（人）,78_死亡数_心疾患（高血圧性を除く）（人）,79_死亡数_脳血管疾患（人）,80_死亡数_老衰（人）,81_死亡率(人口千人対)（人）,82_婚姻_実数（人）,83_婚姻_率(人口千人対),84_離婚_実数（人）,85_離婚_率(人口千人対),86_高卒者進路_大学等進学率（%）,87_高卒者進路_卒業者に占める就職者の割合（%）,88_社会福祉施設_老人福祉施設（施設）,89_社会福祉施設_保育所（施設）,90_社会福祉施設_幼保連携型認定こども園（施設）,91_生活保護率（月平均）人口千対（‰）,92_人口100人当たり蔵書冊数_（市町村立）図書館（冊）,93_人口100人当たり蔵書冊数_（市町村立）公民館等（冊）,94_水道普及率（%）,95_交通事故発生状況（県計のみ高速道路事故含む）_発生件数（件）,96_交通事故発生状況（県計のみ高速道路事故含む）_死者数（人）,97_交通事故発生状況（県計のみ高速道路事故含む）_負傷者数（人）,98_火災出火件数（件）,99-1_刑法犯_認知件数（件）,99-2_刑法犯_検挙件数（件）,100-1_財政 令和6年度決算状況（普通会計）_歳入（千円）,100-2_財政 令和6年度決算状況（普通会計）_うち地方税（千円）,100-3_財政 令和6年度決算状況（普通会計）_歳出（千円）,100-4_財政_財政力指数,100-5_財政_積立金現在高（千円）
平内町,217.09,10126,46.6,3796,5448,5266,1445,1045,2776,362,2528,139,-,149,1460,1100,361,2730,581,17005,4361,1197,12145,4102711,18,366,1031302,285299,11,35,770,81,348,3591,43,203,1612,344,199,5309,0,2058,886,3178,967,356,215,0,622,3645,2058,2659,1364,3122,1746,28727,2462,7649,138,108,0,8.9,1,96,6,-,508,8,82.5,2,20.6,16,165,29,3.1,224,54,25,17,34,23.7,14,1.5,10,1.06,40,20,3,5,1,13.33,448.2,,96.7,17,2,23,6,13,6,8133421,903078,7973004,0.24,1953762
今別町,125.27,2334,18.6,1127,1044,955,143,247,565,129,620,31,1,53,546,334,212,711,583,10581,8984,88,1600,827395,-,-,-,-,2,8,x,25,73,x,9,28,360,82,25,57,0,2,323,1101,239,73,53,0,50,819,0,957,422,746,149,5098,2331,1682,73,49,-,10.1,-,-,3,19,929,2,93.2,3,139.9,3,139.9,4,2,73,13,18,2,12,35.7,4,2,1,0.49,-,-,1,-,1,27.24,,288.5,107.3,2,-,2,1,3,5,3256098,393505,3199191,0.21,2024782
蓬田村,80.84,2540,31.4,899,1304,1239,367,253,619,78,627,164,-,30,1150,1030,122,3760,605,6095,5035,281,3286,901036,1,174,x,x,3,46,2276,12,53,635,10,47,x,1225,17,658,153,460,82,515,543,364,27,0,69,730,0,856,513,524,171,6908,2326,2130,130,33,-,48.3,-,-,2,-,-,1,40.8,-,-,-,-,7,3,52,12,6,5,6,22,4,1.7,3,1.27,-,-,1,-,1,15.92,,211.9,100.6,1,-,2,0,3,1,4774525,275487,4719061,0.19,2988817
外ヶ浜町,230.3,5401,23.5,2358,2508,2371,548,494,1329,290,1700,29,-,91,758,599,159,749,547,19925,17565,440,10897,3118394,5,113,426523,109666,8,37,290,75,233,3022,35,103,1316,152,42,1565,0,701,705,1605,833,807,219,0,188,1717,198,2326,766,2390,509,14723,2304,3643,119,85,7,22.7,1,44,7,-,908,8,158.6,1,19.8,7,138.8,6,1.2,155,29,26,8,38,32,8,1.7,7,1.45,-,-,6,-,1,23.89,,143.2,100,2,-,3,4,11,9,7081442,653745,6957325,0.18,4486860
鰺ヶ沢町,343.08,9044,26.4,3643,4539,4211,905,714,2592,458,2691,453,1,74,3230,1890,1350,4370,618,26238,18400,87,394,334108,10,181,199515,83888,10,31,423,108,521,7189,55,307,3844,1922,133,202,0,913,1428,1498,2035,994,955,14,816,3013,828,2053,1183,3822,1320,23127,2256,7509,197,170,30.11,9.4,1,60,5,19,950,10,116.5,4,46.6,16,186.4,16,1.9,216,53,26,9,43,26,12,1.4,7,0.84,22.2,22.2,3,2,1,30,,306.7,86.7,8,-,11,11,18,13,9442098,863470,9014440,0.22,1428297
深浦町,488.91,7346,15,3047,3471,3247,754,606,1887,380,2242,190,1,201,1420,783,640,1900,572,42309,34992,413,4437,1937295,6,86,113051,61130,14,83,2626,73,274,2568,31,121,1252,1012,115,2052,409,496,912,2714,1041,313,719,0,260,2440,20,1913,1385,2112,639,18554,2206,5705,183,151,-,12.4,-,-,5,-,-,4,58.5,3,43.9,3,43.9,17,2.6,188,44,23,8,41,28.5,11,1.7,10,1.52,-,-,5,6,1,18.08,,172.5,100.3,12,1,12,13,12,6,9058243,798323,8777955,0.18,4026957
西目屋村,246.02,1265,5.1,437,730,707,177,170,360,70,389,87,-,41,348,182,166,535,581,22419,20163,-,-,-,1,11,x,x,1,5,x,7,22,x,5,17,x,362,36,0,0,14,877,835,40,79,179,0,33,379,218,607,180,245,289,4372,2663,1118,55,42,-,7.6,-,-,1,-,-,-,-,-,-,-,-,9,7.6,43,11,9,5,5,36.3,2,1.7,1,0.84,-,-,1,1,-,14.5,,289.9,100,2,1,1,-,2,-,2588576,146159,2564291,0.12,1482209
藤崎町,37.29,14573,390.8,4965,8294,7814,1730,1599,4485,513,4233,841,4,228,2530,1660,872,8110,610,-,-,-,-,-,9,514,600802,280179,25,282,8911,109,678,10963,41,271,3550,3490,0,0,0,1474,797,2930,4524,2417,319,6,425,5280,66,1794,1865,4452,1695,31535,2510,12434,229,144,1.09,11.5,1,149,7,-,755,17,118.9,4,28,18,125.9,87,6.1,228,49,34,19,48,16.1,37,2.6,15,1.06,-,-,5,3,3,16.2,496,,99.7,22,1,27,9,51,24,9660341,1187424,9467272,0.3,3558910
大鰐町,163.43,8665,53,3228,4717,4490,983,874,2633,322,1964,365,-,161,1570,384,1190,834,575,12577,7367,-,-,-,8,275,394567,110192,10,32,183,75,378,4982,24,142,1312,1607,85,0,0,1001,813,2024,1393,2422,743,0,289,2791,88,1741,694,2023,953,18668,2341,6555,210,143,293.67,12,-,-,5,-,-,9,109.9,2,24.4,8,97.7,18,2.3,186,41,20,22,17,23.3,15,1.9,7,0.88,-,-,3,2,1,21.07,,103.9,93.1,13,1,15,3,8,6,6857969,617692,6636684,0.22,2597299
田舎館村,22.35,7326,327.8,2401,4057,3912,825,909,2178,234,2186,433,3,149,1440,1140,298,5580,612,-,-,-,-,-,20,930,1652177,741528,7,40,1184,28,162,1593,10,88,109,1325,2,0,0,7392,403,1246,497,1183,116,115,163,2906,371,1122,705,1367,590,19502,2551,6084,167,101,0.61,9,-,-,2,19,272,1,14.1,0,0,-,-,31,4.4,123,30,16,13,8,17.6,20,2.9,9,1.29,-,-,1,2,1,16.6,,191.1,99.6,30,-,34,9,8,1,5514222,588178,4960433,0.26,3894491
